business_name,category,postcode,city,state,abn,phone,email,website,lead_score,tier
Adelaide painters Pro,Painter,,Adelaide,SA,,08-7777-8888,paint@adelaidepainters.com.au,adelaidepainterspro.com,74,standard
MR HEATING & COOLING PTY. LTD.,air conditioning,5096,Adelaide,SA,18093986620,,,mr-heating-cooling.com,55,MEDIUM
Simmonds Refrigeration & Air Conditioning Pty Ltd,air conditioning,5039,Adelaide,SA,14135691039,,,simmonds-refrigeration-air-conditioning-au.com.au,55,MEDIUM
ACLIMATISE HEATING & COOLING,air conditioning,5095,Adelaide,SA,14107977337,,,aclimatiseheatingcooling.com.au,55,MEDIUM
THOMPSON AIR,air conditioning,5031,Adelaide,SA,19607375511,,,thompson-air.com,55,MEDIUM
BLIZZARD COOLING AND REFRIGERATION SERVICES,air conditioning,5008,Adelaide,SA,11207614290,,,blizzard-cooling-and-refrigeration-services.com,55,MEDIUM
VIP AIRCONDITIONING,air conditioning,5047,Adelaide,SA,99141092079,,,vip-airconditioning.com.au,55,MEDIUM
The Trustee for Star Pro Heating & Cooling Trust,air conditioning,5024,Adelaide,SA,17519875662,,,the-trustee-for-star-pro-heating-cooling-trust-au.com.au,55,MEDIUM
AMCA OF SA INC,air conditioning,5031,Adelaide,SA,97514754369,,,amca-of-sa-inc-au.com,55,MEDIUM
Mega Air Air Conditioning,air conditioning,5035,Adelaide,SA,13386304533,,,megaairairconditioning.com.au,55,MEDIUM
RITEMP CONFORMAL COOLING SYSTEMS PTY LTD,air conditioning,5073,Adelaide,SA,16639293628,,,ritemp-conformal-cooling-systems-au.com,55,MEDIUM
Prosser Air Conditioning,air conditioning,5097,Adelaide,SA,17685347533,,,prosser-air-conditioning-au.com,55,MEDIUM
DESIGN HEATING & COOLING PTY LTD,air conditioning,5074,Adelaide,SA,19678978884,,,designheatingcooling.com.au,55,MEDIUM
CONCEPT AIR CONDITIONING PTY LTD,air conditioning,5000,Adelaide,SA,15163146361,,,conceptairconditioning.com,55,MEDIUM
AFS COOLING PTY LTD,air conditioning,5061,Adelaide,SA,17669058271,,,afs-cooling-au.com,55,MEDIUM
